Wavelength (nm),EQE1,Wavelength (nm),EQE2,Wavelength (nm),EQE3
,,1045.714286,82.21198157,,
,,1048.571429,80.82949309,,
,,1051.428571,80,,
,,1054.285714,78.20276498,,
,,1058.095238,76.26728111,,
,,1060.952381,74.88479263,,
,,1063.809524,73.22580645,,
,,1066.666667,71.42857143,,
,,1070.47619,69.49308756,,
,,1073.333333,68.11059908,,
,,1076.190476,66.7281106,,
,,1082.857143,64.23963134,,
,,1085.714286,62.44239631,,
,,1090.47619,60.0921659,,
,,1092.380952,58.29493088,,
,,1094.285714,56.77419355,,
,,1095.238095,55.39170507,,
,,1100,54.00921659,,
,,1100.952381,52.07373272,,
,,1104.761905,50,,
,,1107.619048,47.37327189,,
,,1114.285714,44.88479263,,
,,1117.142857,42.25806452,,
,,1120.952381,39.21658986,,
,,1126.666667,37.41935484,,
,,1126.666667,35.48387097,,
,,1133.333333,32.85714286,,
,,1135.238095,30.64516129,,
,,1138.095238,28.15668203,,
,,1142.857143,26.08294931,,
,,1147.619048,22.48847926,,
,,1150.47619,20.69124424,,
,,1152.380952,18.61751152,,
,,1156.190476,16.26728111,,
,,1160.952381,14.05529954,,
,,1163.809524,11.70506912,,
,,1167.619048,10.04608295,,
,,1171.428571,7.834101382,,
,,1175.238095,5.483870968,,
,,1178.095238,3.410138249,,
,,1187.619048,1.474654378,,
,,1197.142857,0.9216589862,,
